mk,sq,es,en
"Стадион АС Јунајтед (Струга)","Stadiumi AS United (Strugë)","Estadio AS United (Struga)","AS United Stadium (Struga)"
"Стадион ФК Ренова во Џепчиште (Тетово)","Stadiumi i KF Renova në Xhepçisht (Tetovë)","Estadio FK Renova en Džepčište (Tetovo)","FK Renova Stadium in Džepčište (Tetovo)"
"Терен со вештачка трева „Билјанини извори“ (Охрид)","Fusha e futbollit me bar artificial ""Burimet e Biljanës"" (Ohër)","Campo de fútbol de césped artificial Biljanini Izvori (Ohrid)","Artificial Turf Football Pitch Biljanini Izvori (Ohrid)"
"Терен Солидарност (Гази Баба, Скопје)","Fusha e futbollit Solidarnost (Gazi Babë, Shkup)","Campo de fútbol Solidarnost (Gazi Baba, Skopie)","Solidarnost Football Pitch (Gazi Baba, Skopje)"
"Терен ФК Дељадровци (Илинден)","Fusha e futbollit KF Deljadrovci (Ilinden)","Campo de fútbol FK Deljadrovci (Ilinden)","FK Deljadrovci Football Pitch (Ilinden)"
"Терен ФК Долно Коњари (Петровец)","Fusha e futbollit KF Dollno Konjari (Petrovec)","Campo de fútbol FK Dolno Konjari (Petrovec)","FK Dolno Konjari Football Pitch (Petrovec)"
"Терен ФК Инџиково (Гази Баба, Скопје)","Fusha e futbollit KF Inxhikovë (Gazi Babë, Shkup)","Campo de fútbol FK Indžikovo (Gazi Baba, Skopie)","FK Indžikovo Football Pitch (Gazi Baba, Skopje)"
"Терен ФК Кадино (Илинден)","Fusha e futbollit KF Kadino (Ilinden)","Campo de fútbol FK Kadino (Ilinden)","FK Kadino Football Pitch (Ilinden)"
"Терен ФК Нова Колонија во Јурумлери (Гази Баба, Скопје)","Fusha e futbollit KF Nova Kollonija në Jurumleri (Gazi Babë, Shkup)","Campo de fútbol FK Nova Kolonija en Jurumleri (Gazi Baba, Skopie)","FK Nova Kolonija Football Pitch in Jurumleri (Gazi Baba, Skopje)"
"Терен ФК Петровец (Петровец)","Fusha e futbollit KF Petrovec (Petrovec)","Campo de fútbol FK Petrovec (Petrovec)","FK Petrovec Football Pitch (Petrovec)"
"Стадион ФК Дрита (Боговиње)","Stadiumi i KF Drita (Bogovinë)","Estadio FK Drita (Bogovinje)","FK Drita Stadium (Bogovinje)"
"Стадион ФК Марена (Кавадарци)","Stadiumi i KF Marena (Kavadar)","Estadio FK Marena (Kavadarci)","FK Marena Stadium (Kavadarci)"
"Стадион ФК Орашац (Куманово)","Stadiumi i KF Orashac (Kumanovë)","Estadio FK Orašac (Kumanovo)","FK Orašac Stadium (Kumanovo)"
"Стадион ФК Црна Река во Возарци (Кавадарци)","Stadiumi i KF Crna Reka në Vozarci (Kavadar)","Estadio FK Crna Reka en Vozarci (Kavadarci)","FK Crna Reka Stadium in Vozarci (Kavadarci)"
"Стадион ФК Раштак (Гази Баба, Скопје)","Stadiumi i KF Rashtak (Gazi Babë, Shkup)","Estadio FK Raštak (Gazi Baba, Skopie)","FK Raštak Stadium (Gazi Baba, Skopje)"
"Стадион ФК Фортуна во Ченто (Гази Баба, Скопје)","Stadiumi i KF Fortuna në Çento (Gazi Babë, Shkup)","Estadio FK Fortuna en Čento (Gazi Baba, Skopie)","FK Fortuna Stadium in Čento (Gazi Baba, Skopje)"
"Стадион во Градец (Врапчиште)","Stadiumi në Gradec (Vrapçisht)","Estadio en Gradec (Vrapčište)","Stadium in Gradec (Vrapčište)"
"Терен во Агино Село (Куманово)","Fusha e futbollit në Agino Sellë (Kumanovë)","Campo de fútbol en Agino Selo (Kumanovo)","Football Pitch in Agino Selo (Kumanovo)"
"Терен Костурник во Горно Којнаре (Куманово)","Fusha e futbollit Kosturnik në Gorno Kojnare (Kumanovë)","Campo de fútbol Kosturnik en Gorno Kojnare (Kumanovo)","Kosturnik Football Pitch in Gorno Kojnare (Kumanovo)"
"Стадион „Милутин Вељковиќ Уча“ во Речица (Куманово)","Stadiumi ""Milutin Veljkoviq Uça"" në Reçicë (Kumanovë)","Estadio Milutin Veljković Uča en Rečica (Kumanovo)","Milutin Veljković Uča Stadium in Rečica (Kumanovo)"
"Терен во Доброшане (Куманово)","Fusha e futbollit në Dobroshan (Kumanovë)","Campo de fútbol en Dobrošane (Kumanovo)","Football Pitch in Dobrošane (Kumanovo)"
"Стадион „Милутин Вељковиќ Уча“ во Речица (Куманово)","Stadiumi ""Milutin Veljkoviq Uça"" në Reçicë (Kumanovë)","Estadio Milutin Veljković Uča en Rečica (Kumanovo)","Milutin Veljković Uča Stadium in Rečica (Kumanovo)"
"Терен во Тромеѓа (Куманово)","Fusha e futbollit në Tromeđa (Kumanovë)","Campo de fútbol en Tromeđa (Kumanovo)","Football Pitch in Tromeđa (Kumanovo)"
"Игралиште на АМС (Валандово)","Fusha e futbollit e AMS-së (Vallandovë)","Campo de fútbol AMS (Valandovo)","AMS Football Pitch (Valandovo)"
"Игралиште кај Спортска сала (Куманово)","Fusha e futbollit te Salla e sporteve (Kumanovë)","Campo de fútbol junto al Pabellón de deportes (Kumanovo)","Football Pitch next to Sports Hall (Kumanovo)"
"Игралиште Карпош (Куманово)","Fusha e futbollit Karposh (Kumanovë)","Campo de fútbol Karpoš (Kumanovo)","Karpoš Football Pitch (Kumanovo)"
"Игралиште на АМС (Гостивар)","Fusha e futbollit e AMS-së (Gostivar)","Campo de fútbol AMS (Gostivar)","AMS Football Pitch (Gostivar)"
"Игралиште во Пирава (Валандово)","Fusha e futbollit në Piravë (Vallandovë)","Campo de fútbol en Pirava (Valandovo)","Football Pitch in Pirava (Valandovo)"
"Тренинг центар „Петар Милошевски“ (Аеродром, Скопје)","Qendra stërvitore ""Petar Milloshevski"" (Aerodrom, Shkup)","Ciudad deportiva Petar Miloševski (Aerodrom, Skopie)","Petar Miloševski Training Centre (Aerodrom, Skopje)"
